UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH
04Q,Tradewind Aviation,10721,BOS,"Boston, MA",16512,NY8,"Mattituck, NY",479,7
04Q,Tradewind Aviation,11493,EEN,"Keene, NH",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,11899,GFL,"Glens Falls, NY",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",14306,PVC,"Provincetown, MA",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",12250,HYA,"Hyannis, MA",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",13541,MVY,"Martha's Vineyard, MA",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",14255,PSF,"Pittsfield, MA",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",13984,OWD,"Norwood, MA",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",15096,SYR,"Syracuse, NY",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",14307,PVD,"Providence, RI",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",12365,IPT,"Williamsport, PA",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",13731,NPT,"Newport, RI",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",11493,EEN,"Keene, NH",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",10613,BID,"Block Island, RI",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",16764,FME,"Fort Meade, MD",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",16925,5NY,"Malone, NY",479,7
04Q,Tradewind Aviation,15167,TEB,"Teterboro, NJ",16498,NY7,"Skaneateles, NY",479,7
04Q,Tradewind Aviation,13731,NPT,"Newport, RI",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,13731,NPT,"Newport, RI",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,13731,NPT,"Newport, RI",15356,TTN,"Trenton, NJ",479,7
04Q,Tradewind Aviation,13731,NPT,"Newport, RI",11899,GFL,"Glens Falls, NY",479,7
04Q,Tradewind Aviation,13731,NPT,"Newport, RI",13884,ONH,"Oneonta, NY",479,7
04Q,Tradewind Aviation,15070,SWF,"Newburgh/Poughkeepsie, NY",12250,HYA,"Hyannis, MA",479,7
04Q,Tradewind Aviation,15070,SWF,"Newburgh/Poughkeepsie, NY",14259,PSM,"Portsmouth, NH",479,7
04Q,Tradewind Aviation,11375,DOV,"Dover, DE",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,10785,BTV,"Burlington, VT",10540,BED,"Bedford, MA",479,7
04Q,Tradewind Aviation,10785,BTV,"Burlington, VT",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,10785,BTV,"Burlington, VT",14769,SFM,"Sanford, ME",479,7
04Q,Tradewind Aviation,10785,BTV,"Burlington, VT",16353,ZXU,"North Kingstown, RI",479,7
04Q,Tradewind Aviation,10361,ART,"Watertown, NY",13731,NPT,"Newport, RI",479,7
04Q,Tradewind Aviation,10478,BAF,"Westfield, MA",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,10504,BBX,"Blue Bell, PA",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,10504,BBX,"Blue Bell, PA",12391,ISP,"Islip, NY",479,7
04Q,Tradewind Aviation,10535,BDR,"Bridgeport, CT",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,10535,BDR,"Bridgeport, CT",13398,MMU,"Morristown, NJ",479,7
04Q,Tradewind Aviation,10613,BID,"Block Island, RI",12932,LEB,"Lebanon-Hanover, NH",479,7
04Q,Tradewind Aviation,10613,BID,"Block Island, RI",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,10613,BID,"Block Island, RI",15167,TEB,"Teterboro, NJ",479,7
04Q,Tradewind Aviation,10975,CGS,"College Park, MD",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,14417,QQG,"Westminster, MD",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,11675,FID,"Fishers Island, NY",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,11675,FID,"Fishers Island, NY",10721,BOS,"Boston, MA",479,7
04Q,Tradewind Aviation,12478,JFK,"New York, NY",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,12478,JFK,"New York, NY",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,12478,JFK,"New York, NY",10721,BOS,"Boston, MA",479,7
04Q,Tradewind Aviation,12478,JFK,"New York, NY",14576,ROC,"Rochester, NY",479,7
04Q,Tradewind Aviation,12478,JFK,"New York, NY",16353,ZXU,"North Kingstown, RI",479,7
04Q,Tradewind Aviation,16764,FME,"Fort Meade, MD",15167,TEB,"Teterboro, NJ",479,7
04Q,Tradewind Aviation,11773,FRY,"Fryeburg, ME",13781,NY1,"Kingston, NY",479,7
04Q,Tradewind Aviation,11773,FRY,"Fryeburg, ME",11728,FOK,"Westhampton, NY",479,7
04Q,Tradewind Aviation,11862,GBR,"Great Barrington, MA",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,11862,GBR,"Great Barrington, MA",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,11883,GED,"Georgetown, DE",11728,FOK,"Westhampton, NY",479,7
04Q,Tradewind Aviation,16526,MA4,"Marshfield, MA",14321,PWM,"Portland, ME",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",12250,HYA,"Hyannis, MA",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",14259,PSM,"Portsmouth, NH",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",14875,SLK,"Saranac Lake/Lake Placid, NY",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",14539,RKD,"Rockland, ME",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",13541,MVY,"Martha's Vineyard, MA",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",12932,LEB,"Lebanon-Hanover, NH",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",10158,ACY,"Atlantic City, NJ",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",10721,BOS,"Boston, MA",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",15167,TEB,"Teterboro, NJ",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",11899,GFL,"Glens Falls, NY",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",16353,ZXU,"North Kingstown, RI",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",15427,UBF,"Chatham, MA",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",14321,PWM,"Portland, ME",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",10975,CGS,"College Park, MD",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",13599,NAD,"North Adams, MA",479,7
04Q,Tradewind Aviation,12222,HTO,"East Hampton, NY",12944,LEW,"Lewiston/Auburn, ME",479,7
04Q,Tradewind Aviation,13008,LKP,"Lake Placid, NY",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,16925,5NY,"Malone, NY",15167,TEB,"Teterboro, NJ",479,7
04Q,Tradewind Aviation,16540,ME3,"Belfast, ME",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,13597,N87,"Robbinsville, NJ",11537,ELM,"Elmira/Corning, NY",479,7
04Q,Tradewind Aviation,16568,NJ4,"Ocean City, NJ",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,13781,NY1,"Kingston, NY",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,13781,NY1,"Kingston, NY",11773,FRY,"Fryeburg, ME",479,7
04Q,Tradewind Aviation,16442,NY5,"Millbrook, NY",14539,RKD,"Rockland, ME",479,7
04Q,Tradewind Aviation,15021,STQ,"St. Marys, PA",11764,FRG,"East Farmingdale, NY",479,7
04Q,Tradewind Aviation,14321,PWM,"Portland, ME",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,14321,PWM,"Portland, ME",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,14321,PWM,"Portland, ME",16526,MA4,"Marshfield, MA",479,7
04Q,Tradewind Aviation,14212,POU,"Poughkeepsie, NY",12250,HYA,"Hyannis, MA",479,7
04Q,Tradewind Aviation,14524,RIC,"Richmond, VA",13541,MVY,"Martha's Vineyard, MA",479,7
04Q,Tradewind Aviation,14255,PSF,"Pittsfield, MA",15167,TEB,"Teterboro, NJ",479,7
04Q,Tradewind Aviation,14576,ROC,"Rochester, NY",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,14576,ROC,"Rochester, NY",12478,JFK,"New York, NY",479,7
04Q,Tradewind Aviation,14769,SFM,"Sanford, ME",10785,BTV,"Burlington, VT",479,7
04Q,Tradewind Aviation,15427,UBF,"Chatham, MA",12932,LEB,"Lebanon-Hanover, NH",479,7
