Airport ID,City,PageRank
12954,"Long Beach, CA",5.973487841700159
12214,"Huslia, AK",5.874685582675079
15581,"Venetie, AK",5.835857790601612
10349,"Arctic Village, AK",5.777633222303239
16091,"Detroit, MI",5.77668403781942
12853,"Quinhagak, AK",5.7443306018809475
11997,"Gustavus, AK",5.706157516665606
11484,"Edna Bay, AK",5.6807441078635685
12819,"Ketchikan, AK",5.639860240864307
14628,"Rosario, WA",5.6304876970765365
10783,"Bettles, AK",5.579441241275154
13055,"Lopez Island, WA",5.5379492686140415
13485,"Madison, WI",5.522345077469128
14262,"Palm Springs, CA",5.444565599632411
15091,"Seal Bay, AK",5.4360704636839685
11481,"Panama City, FL",5.3285349843768595
11555,"Kenai, AK",5.309938803909686
11648,"Kalispell, MT",5.295736214683695
10372,"Aspen, CO",5.274146365073188
16603,"Deer Harbor, WA",5.169218591684053
11924,"Gulkana, AK",5.097919199749709
13934,"Port Lions, AK",5.092865040981897
12127,"Hawthorne, CA",5.089811203316331
12441,"Jackson, WY",5.023146093982066
11511,"Egegik, AK",5.00392320950539
12721,"Larsen Bay, AK",4.973584614718265
14229,"Port Protection, AK",4.950719197521838
11003,"Cedar Rapids/Iowa City, IA",4.9440969028997745
14485,"Red Dog, AK",4.878286517404039
11637,"Fargo, ND",4.855367083810956
14474,"Ruby, AK",4.832863480294551
14627,"Russian Mission, AK",4.802786514587216
12217,"Huntsville, AL",4.788800962586137
11646,"Friday Harbor, WA",4.777744866995212
15380,"Traverse City, MI",4.775422609869866
14082,"Punta Gorda, FL",4.768266018991169
15862,"Tuntutuliak, AK",4.656816491082334
14457,"Rapid City, SD",4.643756198580037
13369,"Marshall, AK",4.567965374925025
10135,"Allentown/Bethlehem/Easton, PA",4.5579646514933865
15293,"Togiak, AK",4.514630668568509
10590,"Bullhead City, AZ",4.480308259626537
11492,"Eek, AK",4.424224343439613
10661,"Boulder City, NV",4.379533092884784
10961,"Craig, AK",4.376698502400212
12945,"Lexington, KY",4.351438932422244
12615,"Kaltag, AK",4.345195760319218
10620,"Billings, MT",4.327410674156646
14234,"Pilot Station, AK",4.302906079076509
14814,"Shreveport, LA",4.2963759647099415
12391,"Islip, NY",4.278741609222134
12815,"Thorne Bay, AK",4.277816029272683
15024,"Charlotte Amalie, VI",4.21620992788097
10431,"Asheville, NC",4.198522500911565
12779,"Kipnuk, AK",4.1322050230749845
15236,"Tok, AK",4.11962353372467
13898,"Miami, FL",4.102319264015458
14856,"Shaktoolik, AK",4.090182827534596
13486,"Missoula, MT",4.075262874609878
13894,"Toksook, AK",4.065768592717406
11921,"Grand Junction, CO",4.06496280794351
12851,"Kwigillingok, AK",4.063912095693129
14955,"Saipan, TT",4.0482692802062585
15721,"Stebbins, AK",4.046086542876187
10785,"Burlington, VT",4.025886211610005
12755,"New Stuyahok, AK",4.001705747689144
13768,"Nulato, AK",3.9978819856045478
11624,"Key West, FL",3.993350365506959
13061,"Laredo, TX",3.978651323980736
12633,"Coffman Cove, AK",3.950356078165658
10540,"Bedford, MA",3.949637577931432
15885,"Whale Pass, AK",3.9399152593581235
12708,"Kongiganak, AK",3.937539157884706
13256,"Mission/McAllen/Edinburg, TX",3.935266145857818
13770,"Nunapitchuk, AK",3.916606515653163
14942,"Seldovia, AK",3.912975036439737
10185,"Alexandria, LA",3.908612752939221
12917,"Columbus, OH",3.866956035368727
10405,"Atmautluak, AK",3.866713424418665
13158,"Midland/Odessa, TX",3.848145704341709
14119,"Pilot Point, AK",3.8415597941141835
10313,"Anvik, AK",3.84001368469562
15446,"Uganik, AK",3.8360975438127554
12869,"Zachar Bay, AK",3.8223694099151637
15124,"Tanana, AK",3.782940768286024
14895,"St. Michael, AK",3.7714961599592427
13710,"Nightmute, AK",3.7206165455008717
14218,"Prospect Creek, AK",3.714970287495553
11214,"Coldfoot, AK",3.705127668808146
11299,"Danger Bay, AK",3.696558325268892
15023,"Santa Rosa, CA",3.682512023508106
15991,"Yakutat, AK",3.6443096157141266
11227,"Chefornak, AK",3.6199799297802637
12676,"Grayling, AK",3.6198274971888718
12785,"Port Bailey, AK",3.617916028984049
15861,"Noatak, AK",3.575596888908613
12844,"Kivalina, AK",3.5546359346777017
12771,"Olga Bay, AK",3.513917547718542
12621,"Birch Creek, AK",3.5110727260252963
14804,"Shungnak, AK",3.5015595129640915
10139,"Ambler, AK",3.492005613880934
10581,"Bangor, ME",3.4900681069614383
14696,"South Bend, IN",3.480886747407992
12982,"Lihue, HI",3.4775038900978017
15856,"Westsound, WA",3.4333416908433385
12782,"Port Williams, AK",3.409302779512218
14088,"Port Graham, AK",3.406917973451059
12294,"Igiugig, AK",3.3991342153863506
12773,"Point Baker, AK",3.364840226683136
12896,"Lubbock, TX",3.362249642285046
11267,"Dayton, OH",3.3618893631923563
15282,"Tununak, AK",3.356747619247035
10247,"Anaktuvuk Pass, AK",3.3472885372530494
12854,"West Point, AK",3.3401526346631623
12016,"Guam, TT",3.330912582057298
15257,"Tuluksak, AK",3.330316692239176
12831,"Kasigluk, AK",3.324473035267716
14050,"Atlanta, GA",3.2882161880519583
12709,"Akiachak, AK",3.2881368728932943
13942,"Noorvik, AK",3.286287285210438
14783,"Springfield, MO",3.2524536067184298
12171,"Hoonah, AK",3.21757215934653
11823,"Fort Wayne, IN",3.209244835639456
10208,"Augusta, GA",3.190936575267914
12704,"Koyuk, AK",3.1795001137262853
13264,"Medford, OR",3.171151353081957
10278,"Lazy Bay, AK",3.155515686482427
12268,"Kiana, AK",3.1409565981972802
12087,"Holy Cross, AK",3.138629029824736
12250,"Hyannis, MA",3.1291330035880636
10279,"Amarillo, TX",3.116223572933815
15919,"Fayetteville, AR",3.1159469442347065
10747,"Brownsville, TX",3.0826436904258956
12448,"Jackson/Vicksburg, MS",3.064054062432393
